Year,state,Female_18_59,Male_18_59,Female_5_17,Male_5_17,Female_greater_than_60,Male_greater_than_60,Female_less_than_5,Male_less_than_5,Alaska Native alone,American Indian alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,White alone,Not Spanish/Hispanic/Latino,Spanish/Hispanic/Latino,Asian and Pacific Island languages,English Only,N/A (GQ/vacant),Other Indo-European languages,Other Language,Spanish,With a disability,Without a disability,total_pop,indian_area,state_area,Percent_Tribal_Land,Income_Limit,state_name,Pop2010_Rural,TractSNAP_Rural,Pop2010_Urban,TractSNAP_Urban
2021,47,555623,447857,210277,213850,262601,179863,74714,75533,71.0,4451.0,1945.0,29806.0,435232.0,2127.0,93440.0,178049.0,1275197.0,1829405,190913,19265,1729909,12998,36915,38063,183168,445252,1575066,6859497,6.923441299994904e-05,10.889271696434513,6.358038896450581e-06,185,Tennessee,2440530.0,140980.0,3905575.0,238345.0
2018,49,205491,171986,82000,93050,51423,33423,36872,39277,684.0,12937.0,2410.0,16833.0,17294.0,8902.0,61825.0,25520.0,567117.0,551531,161991,24091,482200,6736,29296,17568,153631,91065,622457,3045350,2.4410465125471026,22.97511678090889,0.106247403912022,185,Utah,357418.0,7523.0,2406467.0,61499.0
2019,49,194000,170349,86578,86385,50704,33274,35169,34585,,12678.0,872.0,15089.0,20403.0,10019.0,45190.0,28144.0,558649.0,530416,160628,29311,460416,6199,21250,20786,153082,86858,604186,3096848,2.4410465125471026,22.97511678090889,0.106247403912022,185,Utah,357418.0,7523.0,2406467.0,61499.0
2021,49,198491,171805,79846,81127,56941,41188,30171,33524,438.0,11375.0,591.0,19554.0,13104.0,14961.0,67492.0,76999.0,488579.0,546057,147036,28485,476642,6963,21922,15580,143501,112801,580292,3231370,2.4410465125471026,22.97511678090889,0.106247403912022,185,Utah,357418.0,7523.0,2406467.0,61499.0
2018,50,37557,32428,8437,10727,23353,20478,4070,3406,118.0,562.0,179.0,1219.0,1781.0,,748.0,3742.0,132107.0,136903,3553,3377,127515,2650,4325,81,2508,34352,106104,624977,,2.797953512912501,,185,Vermont,418921.0,18593.0,206820.0,12508.0
2019,50,40048,31856,10406,11478,20182,13862,4127,5088,,842.0,,1244.0,4050.0,,510.0,4193.0,126208.0,134342,2705,1152,122635,2020,3860,3487,3893,36515,100532,624313,,2.797953512912501,,185,Vermont,418921.0,18593.0,206820.0,12508.0
2021,50,35952,32194,10779,10903,24144,15357,2728,2541,,40.0,,2085.0,2297.0,,2043.0,6962.0,121171.0,131195,3403,2086,117252,2656,6929,618,5057,33174,101424,641637,,2.797953512912501,,185,Vermont,418921.0,18593.0,206820.0,12508.0
2018,56,42512,29074,12523,13212,15750,11728,4943,6121,227.0,5799.0,312.0,2984.0,415.0,,4381.0,4272.0,117473.0,117180,18683,2890,116080,823,2381,1604,12085,24758,111105,581836,1.0146155017285603,27.970714628094303,0.0362742073350339,185,Wyoming,268783.0,5251.0,294843.0,7988.0
2019,56,34834,33290,11886,12646,16380,11774,5114,6216,,6529.0,18.0,1115.0,2777.0,215.0,3732.0,6032.0,111722.0,115093,17047,1962,113439,1185,2395,2398,10761,26553,105587,581024,1.0146155017285603,27.970714628094303,0.0362742073350339,185,Wyoming,268783.0,5251.0,294843.0,7988.0
2021,56,41983,33638,13020,15824,14969,12317,6583,4469,23.0,5713.0,24.0,1529.0,3027.0,111.0,4682.0,14768.0,112926.0,121953,20850,1735,124457,889,2339,800,12583,30474,112329,576641,1.0146155017285603,27.970714628094303,0.0362742073350339,185,Wyoming,268783.0,5251.0,294843.0,7988.0
2018,6,3254286,2837847,1241800,1288524,1224025,876124,457050,478381,553.0,76528.0,31243.0,1285526.0,822906.0,47228.0,2391443.0,518336.0,6484274.0,5272396,6385641,1123930,3854374,166087,525833,210840,5776973,1654670,10003367,39148760,0.2741788581914759,41.668273225690974,0.0065800388872949,200,California,2771305.0,84089.0,34482651.0,1100625.0
2019,6,2986767,2615972,1173672,1218880,1196785,842359,416487,430246,420.0,83801.0,26268.0,1151504.0,784539.0,36803.0,2223837.0,479641.0,6094355.0,4874709,6006459,1039824,3611660,170381,459348,203989,5395966,1621069,9260099,39283497,0.2741788581914759,41.668273225690974,0.0065800388872949,200,California,2771305.0,84089.0,34482651.0,1100625.0
2021,6,2935128,2562394,1138462,1180794,1206800,912283,357743,378659,618.0,154226.0,33240.0,1233414.0,736378.0,50121.0,3015787.0,2250026.0,3198453.0,4886002,5786261,1054096,3658685,153349,501008,183138,5121987,1668333,9003930,39455353,0.2741788581914759,41.668273225690974,0.0065800388872949,200,California,2771305.0,84089.0,34482651.0,1100625.0
